step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
0,10.9966,59673.1,,,1.4999999999999998e-06,,34268,15.2,1.0
10,10.8528,51680.1,,,1.6499999999999998e-05,,50457,15.64,7.5
20,10.3659,31757.3,,,3.149999999999999e-05,,50347,15.64,14.0
30,9.6999,16316.1,,,4.65e-05,,50382,15.64,20.5
40,9.3953,12031.3,,,6.149999999999999e-05,,50259,15.64,27.0
50,9.1275,9205.3,,,7.65e-05,,50303,15.64,33.5
60,8.5073,4950.8,,,9.149999999999999e-05,,50366,15.64,40.0
70,8.024,3053.5,,,0.0001065,,50410,15.64,46.5
80,7.6345,2068.3,,,0.0001215,,50455,15.64,53.0
90,7.6864,2178.4,,,0.00013649999999999998,,50403,15.64,59.5
100,7.7022,2213.3,,,0.0001515,,252327,15.64,66.0
150,7.0397,1141.1,,,0.00022649999999999998,,50437,15.64,98.5
200,6.7538,857.3,,,0.0003,,50375,15.64,131.0
250,6.4083,606.9,6.2766,532.0,0.0002999972920620208,,45730,15.64,166.8
300,6.2931,540.8,,,0.00029998916835671937,,50341,15.64,199.4
350,6.0851,439.3,,,0.00029997562920999906,,50355,15.64,231.9
400,5.8295,340.2,,,0.00029995667516501806,,50357,15.64,264.4
450,5.8311,340.7,,,0.0002999323069821672,,50347,15.64,297.0
500,5.4558,234.1,5.685,294.4,0.0002999025256390394,,45845,15.64,332.7
550,5.4571,234.4,,,0.0002998673323303907,,50242,15.64,365.3
600,5.4197,225.8,,,0.0002998267284680921,,50535,15.64,397.8
650,5.4889,242.0,,,0.0002997807156810732,,50507,15.64,430.2
700,5.4028,222.0,,,0.0002997292958152565,,49968,15.64,463.0
750,5.3985,221.1,5.4118,224.0,0.00029967247093348363,,45750,15.64,498.8
800,5.5387,254.3,,,0.0002996102433154324,,50299,15.64,531.4
850,5.2021,181.6,,,0.0002995426154575255,,50382,15.64,563.9
900,5.2762,195.6,,,0.0002994695900728303,,50369,15.64,596.4
950,5.0675,158.8,,,0.00029939117009094993,,50386,15.64,628.9
1000,5.429,227.9,5.2147,184.0,0.0002993073586579058,,45764,15.64,664.7
1050,5.1144,166.4,,,0.0002992181591360115,,50480,15.64,697.2
1100,5.2514,190.8,,,0.0002991235751037377,,49941,15.64,730.0
1150,5.2731,195.0,,,0.00029902361035556864,,50341,15.64,762.5
1200,4.9607,142.7,,,0.0002989182689018503,,50337,15.64,795.1
1250,4.9803,145.5,5.0752,160.0,0.0002988075549686288,,45893,15.64,830.8
1300,5.1133,166.2,,,0.0002986914729974813,,50294,15.64,863.4
1350,4.8469,127.4,,,0.0002985700276453381,,50369,15.64,895.9
1400,4.8588,128.9,,,0.000298443223784295,,50220,15.64,928.5
1450,4.9412,139.9,,,0.0002983110665014187,,50384,15.64,961.0
1500,5.0091,149.8,4.9756,144.8,0.000298173561098542,,45839,15.64,996.8
1550,4.9772,145.1,,,0.0002980307130920518,,50315,15.64,1029.3
1600,5.0244,152.1,,,0.0002978825282126671,,50350,15.64,1061.9
1650,4.9022,134.6,,,0.0002977290124052096,,50378,15.64,1094.4
1700,5.0412,154.6,,,0.00029757017182836505,,50335,15.64,1127.0
1750,4.5421,93.9,4.8589,128.9,0.0002974060128544361,,45884,15.64,1162.7
1800,4.7756,118.6,,,0.0002972365420690867,,50287,15.64,1195.2
1850,4.8578,128.7,,,0.0002970617662710781,,50201,15.64,1227.9
1900,4.4061,81.9,,,0.0002968816924719957,,50100,15.64,1260.6
1950,4.615,101.0,,,0.00029669632789596813,,50085,15.64,1293.3
2000,4.7273,113.0,4.7333,113.7,0.00029650567997937724,,45431,15.64,1329.4
2050,4.8931,133.4,,,0.0002963097563705598,,49367,15.64,1362.6
2100,4.7392,114.3,,,0.00029610856492950075,,49817,15.64,1395.4
2150,4.7549,116.1,,,0.0002959021137275178,,50106,15.64,1428.1
2200,4.9035,134.8,,,0.00029569041104693757,,50161,15.64,1460.8
2250,4.8175,123.7,4.7029,110.3,0.0002954734653807635,,45706,15.64,1496.6
2300,4.9032,134.7,,,0.00029525128543233495,,50158,15.64,1529.3
2350,4.6915,109.0,,,0.0002950238801149782,,50049,15.64,1562.0
2400,4.9194,136.9,,,0.00029479125855164865,,50347,15.64,1594.6
2450,4.1426,63.0,,,0.0002945534300745652,,50314,15.64,1627.2
2500,4.6085,100.3,4.6028,99.8,0.0002943104042248353,,45788,15.64,1662.9
2550,4.6576,105.4,,,0.0002940621907520729,,49841,15.64,1695.8
2600,4.6022,99.7,,,0.0002938087996140066,,50260,15.64,1728.4
2650,4.5151,91.4,,,0.0002935502409760807,,50282,15.64,1761.0
2700,4.6285,102.4,,,0.00029328652521104704,,50323,15.64,1793.5
2750,4.5625,95.8,4.5344,93.2,0.00029301766289854933,,45803,15.64,1829.3
2800,4.2975,73.5,,,0.000292743664824698,,50210,15.64,1862.0
2850,4.5381,93.5,,,0.0002924645419816381,,50203,15.64,1894.6
2900,4.3965,81.2,,,0.0002921803055671082,,50195,15.64,1927.2
2950,4.4278,83.7,,,0.0002918909669839909,,50100,15.64,1959.9
3000,4.5115,91.1,4.5053,90.5,0.00029159653783985585,,45886,15.64,1995.6
3050,3.4606,31.8,,,0.00029129702994649335,,50398,15.64,2028.1
3100,4.6071,100.2,,,0.00029099245531944134,,50330,15.64,2060.7
3150,4.605,100.0,,,0.00029068282617750266,,49856,15.64,2093.6
3200,4.5384,93.5,,,0.00029036815494225536,,50283,15.64,2126.1
3250,4.5864,98.1,4.4085,82.1,0.0002900484542375541,,45392,15.64,2162.2
3300,4.344,77.0,,,0.0002897237368890237,,50326,15.64,2194.8
3350,4.2762,72.0,,,0.0002893940159235448,,50309,15.64,2227.4
3400,4.7219,112.4,,,0.0002890593045687311,,50234,15.64,2260.0
3450,4.4307,84.0,,,0.00028871961625239877,,50491,15.64,2292.4
3500,4.4917,89.3,4.4286,83.8,0.0002883749646020277,,46360,15.64,2327.8
3550,4.7175,111.9,,,0.0002880253634442148,,50494,15.64,2360.2
3600,4.5441,94.1,,,0.0002876708268041193,,50470,15.64,2392.7
3650,4.4646,86.9,,,0.0002873113689049004,,50526,15.64,2425.1
3700,4.6606,105.7,,,0.00028694700416714603,,50439,15.64,2457.6
3750,4.1452,63.1,4.4139,82.6,0.000286577747208295,,46344,15.64,2492.9
3800,4.4873,88.9,,,0.0002862036128420501,,50490,15.64,2525.4
3850,4.3908,80.7,,,0.00028582461607778406,,50493,15.64,2557.8
3900,4.1803,65.4,,,0.0002854407721199374,,50511,15.64,2590.3
3950,4.4715,87.5,,,0.0002850520963674083,,50554,15.64,2622.7
4000,4.2201,68.0,4.4399,84.8,0.0002846586044129351,,46325,15.64,2658.0
4050,4.1989,66.6,,,0.0002842603120424704,,50511,15.64,2690.5
4100,4.3231,75.4,,,0.0002838572352345482,,50488,15.64,2722.9
4150,4.3376,76.5,,,0.0002834493901596424,,50484,15.64,2755.4
4200,4.3638,78.6,,,0.00028303679317951856,,50504,15.64,2787.8
4250,3.9762,53.3,4.3632,78.5,0.0002826194608465771,,45607,15.64,2823.8
4300,4.5084,90.8,,,0.0002821974099031895,,50433,15.64,2856.2
4350,3.8894,48.9,,,0.0002817706572810266,,50543,15.64,2888.7
4400,4.3708,79.1,,,0.0002813392201003792,,50525,15.64,2921.1
4450,4.0532,57.6,,,0.0002809031156694714,,50507,15.64,2953.5
4500,4.2986,73.6,4.3279,75.8,0.00028046236148376625,,45725,15.64,2989.4
4550,4.196,66.4,,,0.0002800169752252637,,50412,15.64,3021.9
4600,4.2789,72.2,,,0.0002795669747617914,,50528,15.64,3054.3
4650,1.5917,4.9,,,0.0002791123781462877,,50607,15.64,3086.7
4700,4.1557,63.8,,,0.00027865320361607774,,50588,15.64,3119.0
4750,4.3789,79.8,4.3065,74.2,0.00027818946959214157,,45850,15.64,3154.8
4800,4.2153,67.7,,,0.00027772119467837496,,50574,15.64,3187.2
4850,4.3152,74.8,,,0.0002772483976608436,,50609,15.64,3219.5
4900,4.4414,84.9,,,0.00027677109750702886,,50593,15.64,3251.9
4950,4.2347,69.0,,,0.00027628931336506733,,50568,15.64,3284.3
5000,4.1566,63.9,4.2836,72.5,0.00027580306456298227,,45774,15.64,3320.1
5050,4.1964,66.4,,,0.00027531237060790856,,50584,15.64,3352.5
5100,3.4128,30.3,,,0.0002748172511853098,,50583,15.64,3384.9
5150,4.3245,75.5,,,0.0002743177261581888,,50599,15.64,3417.3
5200,4.3427,76.9,,,0.0002738138155662907,,50600,15.64,3449.7
5250,3.9912,54.1,4.3051,74.1,0.00027330553962529876,,46512,15.64,3484.9
5300,3.9435,51.6,,,0.0002727929187260238,,50623,15.64,3517.3
5350,4.1222,61.7,,,0.00027227597343358584,,50578,15.64,3549.6
5400,4.502,90.2,,,0.00027175472448658924,,50588,15.64,3582.0
5450,4.168,64.6,,,0.00027122919279629054,,50588,15.64,3614.4
5500,4.1446,63.1,4.242,69.5,0.0002706993994457598,,45848,15.64,3650.2
5550,4.2556,70.5,,,0.00027016536568903434,,50590,15.64,3682.5
5600,4.1329,62.4,,,0.0002696271129502669,,50603,15.64,3714.9
5650,3.4503,31.5,,,0.0002690846628228652,,50636,15.64,3747.3
5700,4.0123,55.3,,,0.00026853803706862646,,50563,15.64,3779.7
5750,4.064,58.2,4.201,66.8,0.0002679872576168638,,45872,15.64,3815.4
5800,4.3028,73.9,,,0.00026743234656352675,,50605,15.64,3847.8
5850,3.8703,48.0,,,0.00026687332617031487,,50606,15.64,3880.2
5900,4.172,64.8,,,0.0002663102188637844,,50600,15.64,3912.5
5950,4.1042,60.6,,,0.00026574304723444897,,50596,15.64,3944.9
6000,4.271,71.6,4.1447,63.1,0.00026517183403587294,,45711,15.64,3980.8
6050,4.074,58.8,,,0.00026459660218375867,,50610,15.64,4013.1
6100,4.1938,66.3,,,0.0002640173747550275,,50583,15.64,4045.5
6150,4.0201,55.7,,,0.00026343417498689336,,50613,15.64,4077.9
6200,4.219,68.0,,,0.00026284702627593116,,50638,15.64,4110.2
6250,4.2098,67.3,4.241,69.5,0.0002622559521771379,,46553,15.64,4145.4
6300,4.147,63.2,,,0.0002616609764029876,,50608,15.64,4177.8
6350,4.0554,57.7,,,0.00026106212282248016,,50623,15.64,4210.2
6400,4.1997,66.7,,,0.0002604594154601839,,50588,15.64,4242.6
6450,4.0748,58.8,,,0.00025985287849527146,,50621,15.64,4274.9
6500,4.2081,67.2,4.1617,64.2,0.00025924253626054993,,46609,15.64,4310.1
6550,4.5598,95.6,,,0.00025862841324148487,,50652,15.64,4342.4
6600,4.2849,72.6,,,0.0002580105340752177,,50587,15.64,4374.8
6650,4.3164,74.9,,,0.00025738892354957736,,50600,15.64,4407.2
6700,4.1328,62.3,,,0.0002567636066020862,,50621,15.64,4439.6
6750,4.2935,73.2,4.1881,65.9,0.00025613460831895915,,46548,15.64,4474.8
6800,4.2433,69.6,,,0.00025550195393409756,,50624,15.64,4507.1
6850,4.0562,57.8,,,0.0002548656688280768,,50591,15.64,4539.5
6900,4.1829,65.6,,,0.000254225778527128,,50603,15.64,4571.9
6950,4.1948,66.3,,,0.0002535823087021141,,50596,15.64,4604.3
7000,4.03,56.3,4.1138,61.2,0.0002529352851675,,45879,15.64,4640.0
7050,4.0663,58.3,,,0.0002522847338803168,,50562,15.64,4672.4
7100,2.2759,9.7,,,0.0002516306809391206,,50635,15.64,4704.7
7150,4.0774,59.0,,,0.00025097315258294556,,50643,15.64,4737.1
7200,3.0493,21.1,,,0.000250312175190251,,50634,15.64,4769.5
7250,3.8862,48.7,4.1787,65.3,0.00024964777527786337,,46538,15.64,4804.7
7300,3.9438,51.6,,,0.0002489799794999124,,50607,15.64,4837.0
7350,3.8971,49.3,,,0.0002483088146467618,,50593,15.64,4869.4
7400,4.0655,58.3,,,0.00024763430764393446,,50618,15.64,4901.8
7450,3.1194,22.6,,,0.00024695648555103227,,50604,15.64,4934.2
7500,4.1101,61.0,4.1688,64.6,0.0002462753755606507,,46535,15.64,4969.4
7550,4.0627,58.1,,,0.0002455910049972876,,50618,15.64,5001.7
7600,3.9825,53.7,,,0.0002449034013162473,,50607,15.64,5034.1
7650,4.1038,60.6,,,0.00024421259210253904,,50616,15.64,5066.5
7700,4.0722,58.7,,,0.00024351860506977032,,50611,15.64,5098.9
7750,4.2095,67.3,4.0762,58.9,0.0002428214680590351,,45819,15.64,5134.6
7800,3.9857,53.8,,,0.00024212120903779693,,50596,15.64,5167.0
7850,3.9418,51.5,,,0.00024141785609876687,,50644,15.64,5199.3
7900,3.7194,41.2,,,0.00024071143745877657,,50607,15.64,5231.7
7950,4.591,98.6,,,0.00024000198145764624,,50590,15.64,5264.1
8000,3.9608,52.5,4.1251,61.9,0.0002392895165570478,,46545,15.64,5299.3
8050,4.2627,71.0,,,0.00023857407133936285,,50606,15.64,5331.7
8100,4.0158,55.5,,,0.00023785567450653627,,50637,15.64,5364.0
8150,4.0584,57.9,,,0.0002371343548789246,,50633,15.64,5396.4
8200,4.0941,60.0,,,0.00023641014139413988,,50619,15.64,5428.8
8250,3.9407,51.5,4.1012,60.4,0.00023568306310588885,,46517,15.64,5464.0
8300,3.5841,36.0,,,0.0002349531491828072,,50625,15.64,5496.3
8350,3.734,41.8,,,0.00023422042890728953,,50588,15.64,5528.7
8400,4.1152,61.3,,,0.00023348493167431447,,50593,15.64,5561.1
8450,4.0212,55.8,,,0.0002327466869902656,,50598,15.64,5593.5
8500,4.1431,63.0,4.0453,57.1,0.0002320057244717477,,45809,15.64,5629.3
8550,3.9458,51.7,,,0.0002312620738443984,,50560,15.64,5661.7
8600,4.2051,67.0,,,0.00023051576494169593,,50595,15.64,5694.1
8650,4.0727,58.7,,,0.00022976682770376204,,50632,15.64,5726.4
8700,1.9727,7.2,,,0.00022901529217616103,,50614,15.64,5758.8
8750,4.107,60.8,4.0175,55.6,0.00022826118850869444,,45903,15.64,5794.5
8800,4.0574,57.8,,,0.00022750454695419126,,50593,15.64,5826.9
8850,3.9997,54.6,,,0.0002267453978672945,,50605,15.64,5859.2
8900,3.7846,44.0,,,0.0002259837717032433,,50631,15.64,5891.6
8950,3.3154,27.5,,,0.00022521969901665128,,50659,15.64,5923.9
9000,4.0856,59.5,4.0335,56.5,0.0002244532104602806,,46538,15.64,5959.1
9050,4.0479,57.3,,,0.00022368433678381227,,50608,15.64,5991.5
9100,3.9032,49.6,,,0.00022291310883261277,,50593,15.64,6023.9
9150,4.2817,72.4,,,0.00022213955754649624,,50622,15.64,6056.3
9200,3.951,52.0,,,0.0002213637139584835,,50608,15.64,6088.6
9250,4.1637,64.3,4.0501,57.4,0.0002205856091935571,,46539,15.64,6123.8
9300,4.1356,62.5,,,0.0002198052744674124,,50583,15.64,6156.2
9350,4.0051,54.9,,,0.0002190227410852057,,50595,15.64,6188.6
9400,4.0195,55.7,,,0.00021823804044029797,,50621,15.64,6221.0
9450,3.9405,51.4,,,0.00021745120401299548,,50611,15.64,6253.4
9500,3.9586,52.4,4.0373,56.7,0.00021666226336928708,,46530,15.64,6288.6
9550,3.9744,53.2,,,0.0002158712501595777,,50600,15.64,6320.9
9600,3.8184,45.5,,,0.00021507819611741864,,50603,15.64,6353.3
9650,3.8588,47.4,,,0.00021428313305823447,,50598,15.64,6385.7
9700,3.9346,51.1,,,0.00021348609287804673,,50625,15.64,6418.1
9750,4.0557,57.7,4.0625,58.1,0.0002126871075521943,,46500,15.64,6453.3
9800,3.9045,49.6,,,0.00021188620913405068,,50593,15.64,6485.7
9850,3.9669,52.8,,,0.00021108342975373803,,50581,15.64,6518.1
9900,3.9916,54.1,,,0.0002102788016168381,,50654,15.64,6550.4
9950,4.1538,63.7,,,0.0002094723570031004,,50650,15.64,6582.8
10000,4.0949,60.0,4.0756,58.9,0.0002086641282651471,,46551,15.64,6618.0
10050,4.0548,57.7,,,0.00020785414782717524,,50623,15.64,6650.3
10100,3.2996,27.1,,,0.00020704244818365577,,50603,15.64,6682.7
10150,4.1595,64.0,,,0.00020622906189802996,,50601,15.64,6715.1
10200,4.0338,56.5,,,0.00020541402160140332,,50609,15.64,6747.5
10250,3.999,54.5,4.0822,59.3,0.00020459735999123614,,46500,15.64,6782.7
10300,3.6567,38.7,,,0.00020377910983003202,,50614,15.64,6815.1
10350,3.8956,49.2,,,0.00020295930394402333,,50509,15.64,6847.5
10400,3.9534,52.1,,,0.0002021379752218545,,50590,15.64,6879.9
10450,3.8919,49.0,,,0.00020131515661326238,,49865,15.64,6912.7
10500,3.8094,45.1,3.9929,54.2,0.0002004908811277545,,45848,15.64,6948.5
10550,4.135,62.5,,,0.00019966518183328489,,50489,15.64,6980.9
10600,3.838,46.4,,,0.00019883809185492724,,50477,15.64,7013.4
10650,3.6787,39.6,,,0.00019800964437354627,,50482,15.64,7045.8
10700,3.8852,48.7,,,0.00019717987262446633,,50488,15.64,7078.3
10750,3.8104,45.2,4.0538,57.6,0.00019634880989613835,,46718,15.64,7113.4
10800,3.9643,52.7,,,0.00019551648952880417,,50448,15.64,7145.8
10850,4.2993,73.7,,,0.0001946829449131591,,50615,15.64,7178.2
10900,4.0941,60.0,,,0.0001938482094890123,,50619,15.64,7210.6
10950,4.0368,56.6,,,0.00019301231674394547,,50163,15.64,7243.2
11000,4.0708,58.6,4.0068,55.0,0.00019217530021196908,,46720,15.64,7278.3
11050,3.9819,53.6,,,0.0001913371934721773,,50496,15.64,7310.8
11100,4.1073,60.8,,,0.0001904980301474008,,50483,15.64,7343.2
11150,3.7891,44.2,,,0.00018965784390285794,,50442,15.64,7375.7
11200,3.9779,53.4,,,0.00018881666844480414,,50460,15.64,7408.2
11250,3.9336,51.1,4.0107,55.2,0.00018797453751917965,,46701,15.64,7443.2
11300,4.0779,59.0,,,0.0001871314849102559,,50630,15.64,7475.6
11350,3.7885,44.2,,,0.00018628754443927997,,50615,15.64,7508.0
11400,3.9921,54.2,,,0.00018544274996311783,,50618,15.64,7540.3
11450,3.8951,49.2,,,0.00018459713537289605,,50617,15.64,7572.7
11500,4.0784,59.1,3.9808,53.6,0.0001837507345926423,,46172,15.64,7608.2
11550,4.2948,73.3,,,0.00018290358157792424,,50650,15.64,7640.5
11600,4.1012,60.4,,,0.00018205571031448744,,50623,15.64,7672.9
11650,3.8754,48.2,,,0.00018120715481689177,,50620,15.64,7705.3
11700,3.8422,46.6,,,0.00018035794912714702,,50643,15.64,7737.6
11750,4.09,59.7,3.9573,52.3,0.00017950812731334708,,46252,15.64,7773.1
11800,4.0761,58.9,,,0.0001786577234683033,,50630,15.64,7805.4
11850,3.6802,39.7,,,0.0001778067717081768,,50629,15.64,7837.8
11900,3.8037,44.9,,,0.0001769553061711095,,50649,15.64,7870.1
11950,4.0009,54.6,,,0.0001761033610158551,,50627,15.64,7902.5
12000,3.954,52.1,4.0208,55.7,0.0001752509704204082,,46872,15.64,7937.4
12050,3.7302,41.7,,,0.00017439816858063356,,50604,15.64,7969.8
12100,3.5063,33.3,,,0.00017354498970889397,,50577,15.64,8002.2
12150,3.9089,49.8,,,0.00017269146803267787,,50621,15.64,8034.6
12200,3.8649,47.7,,,0.00017183763779322618,,50620,15.64,8066.9
12250,3.7791,43.8,3.9459,51.7,0.0001709835332441587,,46057,15.64,8102.5
12300,3.8087,45.1,,,0.00017012918865009978,,50688,15.64,8134.8
12350,3.8885,48.8,,,0.00016927463828530384,,50630,15.64,8167.2
12400,2.5607,12.9,,,0.00016841991643228032,,50617,15.64,8199.6
