step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
12450,3.7389,42.1,,,0.00016756505738041842,,49941,15.64,8232.4
12500,3.9832,53.7,3.9413,51.5,0.0001667100954246114,,44887,15.64,8268.9
12550,3.8651,47.7,,,0.00016585506486388064,,49791,15.64,8301.8
12600,3.4909,32.8,,,0.00016499999999999997,,49854,15.64,8334.6
12650,3.8703,48.0,,,0.0001641449351361193,,49990,15.64,8367.4
12700,4.0661,58.3,,,0.00016328990457538858,,49779,15.64,8400.3
12750,3.8249,45.8,3.8976,49.3,0.0001624349426195815,,45329,15.64,8436.5
12800,4.3567,78.0,,,0.00016158008356771962,,49926,15.64,8469.3
12850,3.8423,46.6,,,0.0001607253617146961,,50304,15.64,8501.9
12900,3.8528,47.1,,,0.0001598708113499002,,50297,15.64,8534.4
12950,3.9985,54.5,,,0.00015901646675584125,,50020,15.64,8567.2
13000,3.8773,48.3,3.975,53.2,0.00015816236220677376,,46206,15.64,8602.7
13050,3.9158,50.2,,,0.00015730853196732205,,50452,15.64,8635.1
13100,3.9213,50.5,,,0.000156455010291106,,50242,15.64,8667.7
13150,4.0259,56.0,,,0.00015560183141936635,,50394,15.64,8700.2
13200,4.0081,55.0,,,0.00015474902957959177,,50467,15.64,8732.7
13250,4.3122,74.6,3.9492,51.9,0.00015389663898414486,,46702,15.64,8767.8
13300,4.0141,55.4,,,0.00015304469382889047,,50487,15.64,8800.2
13350,3.9118,50.0,,,0.00015219322829182317,,49748,15.64,8833.2
13400,3.995,54.3,,,0.00015134227653169666,,49745,15.64,8866.1
13450,3.8092,45.1,,,0.0001504918726866529,,50171,15.64,8898.8
13500,3.3805,29.4,3.9832,53.7,0.00014964205087285298,,46431,15.64,8934.1
13550,3.7714,43.4,,,0.00014879284518310823,,50054,15.64,8966.8
13600,3.5412,34.5,,,0.00014794428968551256,,50233,15.64,8999.4
13650,3.8148,45.4,,,0.0001470964184220757,,50461,15.64,9031.9
13700,3.4017,30.0,,,0.0001462492654073577,,50483,15.64,9064.3
13750,3.7061,40.7,3.9418,51.5,0.0001454028646271039,,46687,15.64,9099.4
13800,3.8886,48.8,,,0.00014455725003688217,,50491,15.64,9131.9
13850,3.7267,41.5,,,0.00014371245556072,,49985,15.64,9164.7
13900,3.5302,34.1,,,0.00014286851508974407,,50259,15.64,9197.3
13950,3.2775,26.5,,,0.0001420254624808203,,50244,15.64,9229.9
14000,3.8269,45.9,3.8917,49.0,0.0001411833315551959,,45733,15.64,9265.7
14050,3.9785,53.4,,,0.00014034215609714203,,50251,15.64,9298.3
14100,4.0089,55.1,,,0.0001395019698525992,,50171,15.64,9330.9
14150,3.7254,41.5,,,0.00013866280652782267,,50465,15.64,9363.4
14200,3.8798,48.4,,,0.00013782469978803084,,50423,15.64,9395.9
14250,3.5462,34.7,3.8978,49.3,0.0001369876832560545,,46598,15.64,9431.1
14300,3.7837,44.0,,,0.0001361517905109876,,49926,15.64,9463.9
14350,3.9115,50.0,,,0.00013531705508684088,,50252,15.64,9496.5
14400,3.9086,49.8,,,0.00013448351047119577,,50267,15.64,9529.1
14450,3.9589,52.4,,,0.0001336511901038616,,50261,15.64,9561.7
14500,3.8891,48.9,3.94,51.4,0.0001328201273755336,,46458,15.64,9596.9
14550,3.9263,50.7,,,0.0001319903556264537,,50243,15.64,9629.6
14600,3.7226,41.4,,,0.0001311619081450727,,50271,15.64,9662.1
14650,3.7408,42.1,,,0.00013033481816671508,,50452,15.64,9694.6
14700,3.7696,43.4,,,0.00012950911887224544,,50456,15.64,9727.1
14750,3.9462,51.7,3.8918,49.0,0.00012868484338673762,,46585,15.64,9762.3
14800,3.8153,45.4,,,0.00012786202477814545,,50436,15.64,9794.7
14850,3.7447,42.3,,,0.00012704069605597664,,50440,15.64,9827.2
14900,3.9184,50.3,,,0.00012622089016996795,,50433,15.64,9859.7
14950,4.0662,58.3,,,0.00012540264000876383,,50436,15.64,9892.2
15000,3.6907,40.1,3.9662,52.8,0.00012458597839859665,,46558,15.64,9927.4
15050,3.794,44.4,,,0.00012377093810197004,,50455,15.64,9959.9
15100,3.7624,43.0,,,0.00012295755181634423,,50459,15.64,9992.3
15150,3.8237,45.8,,,0.00012214585217282475,,50449,15.64,10024.8
15200,3.7313,41.7,,,0.00012133587173485283,,50438,15.64,10057.3
15250,3.7124,41.0,3.8882,48.8,0.0001205276429968996,,45785,15.64,10093.1
15300,3.5696,35.5,,,0.00011972119838316188,,50496,15.64,10125.5
15350,3.9004,49.4,,,0.00011891657024626197,,50434,15.64,10158.0
15400,3.9463,51.7,,,0.00011811379086594925,,50437,15.64,10190.5
15450,3.9035,49.6,,,0.00011731289244780566,,50440,15.64,10223.0
15500,3.8937,49.1,3.958,52.4,0.00011651390712195322,,46634,15.64,10258.1
15550,3.7816,43.9,,,0.00011571686694176554,,50440,15.64,10290.6
15600,3.8551,47.2,,,0.00011492180388258134,,50429,15.64,10323.1
15650,3.8803,48.4,,,0.00011412874984042227,,50442,15.64,10355.6
15700,3.7646,43.1,,,0.00011333773663071286,,50437,15.64,10388.0
15750,4.1572,63.9,3.9256,50.7,0.00011254879598700444,,46669,15.64,10423.2
15800,3.7404,42.1,,,0.000111761959559702,,50434,15.64,10455.6
15850,3.8542,47.2,,,0.00011097725891479419,,50440,15.64,10488.1
15900,3.9117,50.0,,,0.00011019472553258754,,50478,15.64,10520.6
15950,3.9586,52.4,,,0.00010941439080644289,,50438,15.64,10553.1
16000,3.6108,37.0,3.9296,50.9,0.00010863628604151649,,46614,15.64,10588.2
16050,3.6814,39.7,,,0.00010786044245350374,,50471,15.64,10620.7
16100,3.7528,42.6,,,0.00010708689116738722,,50439,15.64,10653.2
16150,3.8726,48.1,,,0.00010631566321618767,,50423,15.64,10685.6
16200,3.9691,52.9,,,0.00010554678953971934,,50435,15.64,10718.1
16250,3.8917,49.0,3.9007,49.4,0.00010478030098334867,,46602,15.64,10753.3
16300,3.8235,45.8,,,0.00010401622829675661,,50444,15.64,10785.8
16350,3.9403,51.4,,,0.00010325460213270543,,50443,15.64,10818.2
16400,3.787,44.1,,,0.00010249545304580869,,50461,15.64,10850.7
16450,3.8689,47.9,,,0.00010173881149130547,,50498,15.64,10883.2
16500,3.8406,46.6,3.9088,49.8,0.0001009847078238389,,46618,15.64,10918.3
16550,3.9223,50.5,,,0.00010023317229623792,,50456,15.64,10950.8
16600,3.8925,49.0,,,9.948423505830408e-05,,50437,15.64,10983.3
16650,3.5529,34.9,,,9.873792615560155e-05,,50499,15.64,11015.7
16700,3.8046,44.9,,,9.799427552825228e-05,,50460,15.64,11048.2
16750,3.8014,44.8,3.8786,48.4,9.725331300973434e-05,,45947,15.64,11083.8
16800,3.6883,40.0,,,9.651506832568553e-05,,50445,15.64,11116.3
16850,3.9223,50.5,,,9.577957109271045e-05,,50429,15.64,11148.8
16900,4.0802,59.2,,,9.504685081719277e-05,,50441,15.64,11181.3
16950,3.347,28.4,,,9.43169368941111e-05,,50448,15.64,11213.8
17000,3.867,47.8,3.8682,47.9,9.358985860586009e-05,,45917,15.64,11249.4
17050,3.802,44.8,,,9.28656451210754e-05,,50446,15.64,11281.9
17100,3.9411,51.5,,,9.214432549346374e-05,,50454,15.64,11314.4
17150,4.0259,56.0,,,9.142592866063713e-05,,50465,15.64,11346.9
17200,3.9452,51.7,,,9.071048344295216e-05,,50469,15.64,11379.3
17250,3.749,42.5,3.9276,50.8,8.999801854235373e-05,,46603,15.64,11414.5
17300,3.7149,41.1,,,8.92885625412234e-05,,50467,15.64,11446.9
17350,3.0022,20.1,,,8.858214390123309e-05,,50483,15.64,11479.4
17400,3.8028,44.8,,,8.7878790962203e-05,,50467,15.64,11511.9
17450,4.0604,58.0,,,8.717853194096484e-05,,50433,15.64,11544.4
17500,3.8763,48.2,3.8585,47.4,8.64813949302296e-05,,45978,15.64,11580.0
17550,0.3099,1.4,,,8.578740789746092e-05,,50434,15.64,11612.5
17600,3.8161,45.4,,,8.509659868375265e-05,,50477,15.64,11644.9
17650,3.7513,42.6,,,8.44089950027124e-05,,50458,15.64,11677.4
17700,3.9851,53.8,,,8.372462443934927e-05,,50443,15.64,11709.9
17750,3.4857,32.6,3.9307,50.9,8.304351444896769e-05,,46615,15.64,11745.0
17800,4.0178,55.6,,,8.236569235606549e-05,,50451,15.64,11777.5
17850,4.0206,55.7,,,8.169118535323817e-05,,50454,15.64,11810.0
17900,3.7757,43.6,,,8.102002050008753e-05,,50466,15.64,11842.4
17950,3.93,50.9,,,8.035222472213659e-05,,50441,15.64,11874.9
18000,3.8286,46.0,3.9097,49.9,7.968782480974897e-05,,46620,15.64,11910.1
18050,3.7966,44.6,,,7.902684741705443e-05,,50439,15.64,11942.5
18100,3.871,48.0,,,7.836931906087936e-05,,50431,15.64,11975.0
18150,3.8855,48.7,,,7.771526611968324e-05,,50454,15.64,12007.5
18200,3.8838,48.6,,,7.706471483250002e-05,,50460,15.64,12040.0
18250,3.627,37.6,3.8667,47.8,7.641769129788588e-05,,46613,15.64,12075.1
18300,3.8739,48.1,,,7.577422147287201e-05,,50477,15.64,12107.6
18350,4.3453,77.1,,,7.513433117192318e-05,,50457,15.64,12140.1
18400,3.8592,47.4,,,7.449804606590239e-05,,50446,15.64,12172.5
18450,3.7316,41.7,,,7.386539168104082e-05,,50438,15.64,12205.0
18500,4.031,56.3,3.9025,49.5,7.323639339791375e-05,,46620,15.64,12240.2
18550,3.4814,32.5,,,7.261107645042263e-05,,50445,15.64,12272.6
18600,3.7728,43.5,,,7.198946592478231e-05,,50444,15.64,12305.1
18650,3.835,46.3,,,7.137158675851513e-05,,50413,15.64,12337.6
18700,3.9755,53.3,,,7.075746373945004e-05,,50533,15.64,12370.0
18750,3.8592,47.4,3.9035,49.6,7.014712150472858e-05,,46653,15.64,12405.2
18800,3.8435,46.7,,,6.954058453981609e-05,,50470,15.64,12437.6
18850,3.8289,46.0,,,6.893787717751978e-05,,50439,15.64,12470.1
18900,3.8711,48.0,,,6.83390235970124e-05,,50466,15.64,12502.6
18950,3.8272,45.9,,,6.774404782286209e-05,,50432,15.64,12535.1
19000,3.6639,39.0,3.8714,48.0,6.715297372406882e-05,,46602,15.64,12570.2
19050,3.682,39.7,,,6.656582501310663e-05,,50458,15.64,12602.7
19100,3.7112,40.9,,,6.598262524497253e-05,,50466,15.64,12635.2
19150,3.3298,27.9,,,6.540339781624126e-05,,50450,15.64,12667.6
19200,3.7913,44.3,,,6.482816596412707e-05,,50442,15.64,12700.1
19250,3.6637,39.0,3.8694,47.9,6.425695276555101e-05,,46627,15.64,12735.3
19300,3.8053,44.9,,,6.368978113621556e-05,,50418,15.64,12767.7
19350,3.8681,47.8,,,6.312667382968516e-05,,50437,15.64,12800.2
19400,3.8967,49.2,,,6.256765343647321e-05,,50449,15.64,12832.7
19450,4.3505,77.5,,,6.201274238313615e-05,,50421,15.64,12865.2
19500,3.8541,47.2,3.8964,49.2,6.146196293137347e-05,,46636,15.64,12900.3
19550,3.6749,39.4,,,6.091533717713469e-05,,50469,15.64,12932.8
19600,3.7227,41.4,,,6.037288704973306e-05,,50472,15.64,12965.3
19650,4.0071,55.0,,,5.983463431096558e-05,,50428,15.64,12997.7
19700,3.5495,34.8,,,5.9300600554240226e-05,,50550,15.64,13030.2
19750,1.7831,5.9,3.913,50.0,5.8770807203709386e-05,,46603,15.64,13065.3
19800,3.773,43.5,,,5.8245275513410706e-05,,50492,15.64,13097.8
19850,3.9696,53.0,,,5.772402656641408e-05,,50437,15.64,13130.2
19900,3.8424,46.6,,,5.720708127397618e-05,,50459,15.64,13162.7
19950,3.8371,46.4,,,5.6694460374701234e-05,,49986,15.64,13195.5
20000,3.8326,46.2,3.8583,47.4,5.618618443370935e-05,,45560,15.64,13231.5
20050,3.9722,53.1,,,5.5682273841811165e-05,,50382,15.64,13264.0
20100,3.9486,51.9,,,5.51827488146902e-05,,50529,15.64,13296.4
20150,3.5821,35.9,,,5.468762939209144e-05,,50526,15.64,13328.8
20200,3.9479,51.8,,,5.419693543701773e-05,,50503,15.64,13361.3
20250,3.897,49.3,3.8055,44.9,5.371068663493267e-05,,46120,15.64,13396.8
20300,3.9478,51.8,,,5.3228902492971115e-05,,50523,15.64,13429.2
20350,3.9804,53.5,,,5.275160233915637e-05,,50479,15.64,13461.7
20400,3.9811,53.6,,,5.2278805321625e-05,,50665,15.64,13494.0
20450,3.8039,44.9,,,5.181053040785842e-05,,50655,15.64,13526.4
20500,3.8613,47.5,3.8701,47.9,5.134679638392219e-05,,46914,15.64,13561.3
20550,3.9322,51.0,,,5.0887621853712284e-05,,50129,15.64,13594.0
20600,3.7683,43.3,,,5.043302523820861e-05,,50556,15.64,13626.4
20650,3.8576,47.3,,,4.9983024774736284e-05,,50548,15.64,13658.8
20700,3.8708,48.0,,,4.953763851623371e-05,,50486,15.64,13691.2
20750,3.9177,50.3,3.8781,48.3,4.909688433052857e-05,,46801,15.64,13726.3
20800,3.6413,38.1,,,4.8660779899620794e-05,,50482,15.64,13758.7
20850,3.6575,38.8,,,4.82293427189734e-05,,50658,15.64,13791.0
20900,3.9267,50.7,,,4.780259009681046e-05,,50662,15.64,13823.4
20950,3.7168,41.1,,,4.7380539153422886e-05,,50663,15.64,13855.7
21000,4.0581,57.9,3.8354,46.3,4.696320682048141e-05,,46887,15.64,13890.7
21050,3.5539,35.0,,,4.6550609840357575e-05,,50681,15.64,13923.0
21100,3.6681,39.2,,,4.614276476545179e-05,,50668,15.64,13955.3
21150,3.6982,40.4,,,4.573968795752957e-05,,50654,15.64,13987.7
21200,4.0196,55.7,,,4.53413955870649e-05,,50666,15.64,14020.0
21250,3.4208,30.6,3.8462,46.8,4.4947903632591675e-05,,46935,15.64,14054.9
21300,3.9043,49.6,,,4.4559227880062596e-05,,50655,15.64,14087.3
21350,3.5782,35.8,,,4.417538392221591e-05,,50665,15.64,14119.6
21400,3.7053,40.7,,,4.3796387157949883e-05,,50656,15.64,14152.0
21450,3.7089,40.8,,,4.342225279170496e-05,,50672,15.64,14184.3
21500,3.6873,39.9,3.8048,44.9,4.30529958328539e-05,,46247,15.64,14219.7
21550,3.7911,44.3,,,4.2688631095099575e-05,,50685,15.64,14252.0
21600,3.7146,41.0,,,4.232917319588063e-05,,50649,15.64,14284.4
21650,3.5869,36.1,,,4.197463655578522e-05,,50604,15.64,14316.8
21700,3.6947,40.2,,,4.1625035397972296e-05,,50673,15.64,14349.1
21750,3.8582,47.4,3.8601,47.5,4.128038374760121e-05,,46923,15.64,14384.0
21800,3.4277,30.8,,,4.094069543126887e-05,,50667,15.64,14416.3
21850,3.9009,49.4,,,4.06059840764552e-05,,50646,15.64,14448.7
21900,3.2052,24.7,,,4.027626311097629e-05,,50664,15.64,14481.0
21950,3.9516,52.0,,,3.9951545762445894e-05,,50659,15.64,14513.4
22000,3.9139,50.1,3.8248,45.8,3.963184505774461e-05,,46901,15.64,14548.3
22050,2.8718,17.7,,,3.93171738224973e-05,,50641,15.64,14580.7
22100,3.6247,37.5,,,3.900754468055866e-05,,50637,15.64,14613.0
22150,3.8285,46.0,,,3.870297005350661e-05,,50661,15.64,14645.4
22200,3.7473,42.4,,,3.8403462160144144e-05,,50669,15.64,14677.7
22250,3.8473,46.9,3.87,47.9,3.810903301600902e-05,,46905,15.64,14712.6
22300,3.7961,44.5,,,3.781969443289179e-05,,50666,15.64,14745.0
22350,3.6639,39.0,,,3.7535458018361884e-05,,50657,15.64,14777.3
22400,3.8368,46.4,,,3.725633517530202e-05,,50662,15.64,14809.6
22450,3.1504,23.3,,,3.69823371014507e-05,,50673,15.64,14842.0
22500,3.5993,36.6,3.8433,46.7,3.671347478895291e-05,,46887,15.64,14876.9
22550,3.7249,41.5,,,3.64497590239193e-05,,50051,15.64,14909.7
22600,3.395,29.8,,,3.619120038599341e-05,,50459,15.64,14942.1
22650,4.0145,55.4,,,3.5937809247927104e-05,,50457,15.64,14974.6
22700,3.9291,50.9,,,3.5689595775164666e-05,,50455,15.64,15007.1
22750,3.7157,41.1,3.846,46.8,3.5446569925434814e-05,,46524,15.64,15042.3
22800,3.6677,39.2,,,3.520874144835133e-05,,50506,15.64,15074.7
22850,3.8986,49.3,,,3.49761198850218e-05,,50477,15.64,15107.2
22900,3.828,46.0,,,3.4748714567665035e-05,,50521,15.64,15139.6
22950,3.7204,41.3,,,3.452653461923649e-05,,50510,15.64,15172.1
23000,3.8459,46.8,3.8788,48.4,3.430958895306244e-05,,46777,15.64,15207.1
23050,3.9694,53.0,,,3.40978862724822e-05,,50414,15.64,15239.6
23100,3.7381,42.0,,,3.3891435070499245e-05,,50652,15.64,15271.9
23150,3.7594,42.9,,,3.369024362944018e-05,,50662,15.64,15304.3
23200,3.881,48.5,,,3.349432002062276e-05,,50633,15.64,15336.6
23250,3.736,41.9,3.8901,48.9,3.330367210403185e-05,,46442,15.64,15371.9
23300,3.8287,46.0,,,3.311830752800428e-05,,50520,15.64,15404.3
23350,3.8263,45.9,,,3.293823372892187e-05,,50530,15.64,15436.8
23400,3.7688,43.3,,,3.2763457930913246e-05,,50513,15.64,15469.2
23450,4.2522,70.3,,,3.259398714556389e-05,,50508,15.64,15501.6
23500,3.7432,42.2,3.861,47.5,3.242982817163493e-05,,46765,15.64,15536.7
23550,3.8366,46.4,,,3.2270987594790365e-05,,50509,15.64,15569.1
23600,3.7703,43.4,,,3.211747178733288e-05,,50524,15.64,15601.5
23650,3.8455,46.8,,,3.1969286907948197e-05,,50514,15.64,15634.0
23700,3.8048,44.9,,,3.1826438901457946e-05,,50515,15.64,15666.4
23750,3.8243,45.8,3.8478,46.9,3.16889334985813e-05,,46765,15.64,15701.4
23800,3.4875,32.7,,,3.155677621570497e-05,,50528,15.64,15733.9
23850,3.7487,42.5,,,3.142997235466189e-05,,50501,15.64,15766.3
23900,3.7675,43.3,,,3.130852700251864e-05,,50547,15.64,15798.7
23950,3.7247,41.5,,,3.1192445031371233e-05,,50392,15.64,15831.2
24000,3.6638,39.0,3.8304,46.1,3.1081731098149694e-05,,46890,15.64,15866.2
24050,2.9204,18.5,,,3.0976389644431306e-05,,50617,15.64,15898.5
24100,3.8164,45.4,,,3.087642489626231e-05,,50649,15.64,15930.9
24150,3.7891,44.2,,,3.078184086398848e-05,,50152,15.64,15963.6
24200,3.6009,36.6,,,3.0692641342094155e-05,,50504,15.64,15996.0
24250,3.6602,38.9,3.8731,48.1,3.060882990905005e-05,,46798,15.64,16031.0
24300,3.7604,43.0,,,3.053040992716968e-05,,50491,15.64,16063.5
24350,3.7784,43.7,,,3.045738454247447e-05,,50516,15.64,16095.9
24400,3.742,42.2,,,3.03897566845676e-05,,50511,15.64,16128.3
24450,3.8501,47.0,,,3.0327529066516376e-05,,50489,15.64,16160.8
24500,3.6378,38.0,3.8184,45.5,3.027070418474349e-05,,46878,15.64,16195.7
24550,4.0207,55.7,,,3.021928431892679e-05,,50635,15.64,16228.1
24600,3.8998,49.4,,,3.0173271531907877e-05,,50635,15.64,16260.4
24650,3.8581,47.4,,,3.0132667669609303e-05,,50610,15.64,16292.8
24700,3.7818,43.9,,,3.0097474360960583e-05,,50638,15.64,16325.2
24750,3.9092,49.9,3.8154,45.4,3.006769301783278e-05,,46855,15.64,16360.1
24800,3.784,44.0,,,3.004332483498188e-05,,50618,15.64,16392.5
24850,3.9259,50.7,,,3.0024370790000906e-05,,50632,15.64,16424.9
24900,3.7318,41.8,,,3.001083164328064e-05,,50637,15.64,16457.2
24950,4.117,61.4,,,3.000270793797915e-05,,50647,15.64,16489.6
25000,3.785,44.0,3.8267,45.9,3.000000108317881e-05,,,,16523.0
